entity_type,source_sha256,replacement
ADDRESS,0e1da3547ed931ba587562a66437b18614fcb8f37f3c1a2680112698bfbebe35,"H.No. 06, Raval Ganj, Bellary-814803"
ADDRESS,75ec9f3544815ddc68b8bb90f7dcb8d9a7541f95bac4692e318f83476133e41f,"H.No. 32, Chakraborty Ganj, Mango 088235"
ADDRESS,c640b34aeace2d55ca3d1223cd11c57ff0464da8425739187a7061e5fd99dd27,"970, Boase Chowk, Nellore-053726"
ADDRESS,c2374de2c936e0274a0e925d408abc10af0beef59ccb92c6a473142e7752c678,"63, Dhar Path, Howrah-044564"
ADDRESS,73e5d865cfc99db72149f6ae5a3bdbf6f58938af46a25ba9d9a5b4ffb50b5e5b,"546, Mani Nagar, Malegaon 329839"
ADDRESS,9814eba0cf4b9e0a1a2c1b337f889290d4e70a9adc5270cf2bc496c53deac510,"84, Vasa Chowk, Ambarnath 740170"
ADDRESS,c17612f5c152e12fcc96c40b9cd1f8d26b19e740ac790a85d816c31ebf03491e,"391, Subramaniam Circle, Hyderabad-112038"
ADDRESS,35e61fe69beb9fc73a10b3c46ea6c789afc1357289e52ad373323721c771927d,"33/99, Pant Nagar, Nagercoil-828462"
ADDRESS,3d660a7abdeeed0b796447ca971c0cedf72c854d604d51d5c67e4a6b44201e67,"H.No. 970, Doshi, Proddatur 072504"
ADDRESS,204a29b1449837dd0d6cda263e1d8cc99953ab8dd5a96e62fc02a7d13dc5be32,"37/888, Sachdev Path, Ghaziabad-020337"
ADDRESS,7e2f97edfde4181cc15425ffb4f5c8d5dac91f2bc93f9f4c3f490bc32d38ad34,"H.No. 832, Panchal Nagar, Bally 990234"
ADDRESS,05153bde9f6771bf2f00646618c98ef8c2bd53a0eec6e8c1191f462a3beb727d,"H.No. 59, Ghose Circle, Pali-054678"
ADDRESS,7d801890edbf2b0e11e17a28683afb6efe9b7413f3544be39f7fc148a8068222,"H.No. 278, Randhawa Ganj, Dehradun 976986"
ADDRESS,ced4309782e714a38d6e4e17641986532f399590cd9cd5aeb6a7e9a34fed1b48,"09/523, Chada Marg, Bongaigaon-740141"
ADDRESS,01853564d1eefd5cacfb6693bca37889b1d5451b4761bb85c4ef15b2cd3347ea,"40/78, Goda Zila, Pali-384921"
ADDRESS,7061669aa2b72c930a0b7015eb86f4b299b1173292f5ce0a8981a3526db111b5,"942, Balay Street, Muzaffarpur 408856"
ADDRESS,2e55c60fe2c55412e9cc81d3119954e5d9890c02f2b7bea5cb8d2757866222f2,"93/711, Handa, Nagaon-006728"
ADDRESS,f2075688d9b633463e9c49558d04a4e484c33a49bea0bb1b439d447c05119034,"277, Kamdar Marg, Jalandhar 199291"
ADDRESS,df45154c0b6879202e69b18dfed6a79e525bf76d55438303b6f2c338697f2a48,"94/354, Pau Street, Bhilai-735814"
ADDRESS,89e027879b95cef582a91acc84f6fbf0b5afd5797649e0af4419e4f8ebdda9f2,"22, Mandal Circle, Agartala-332939"
ADDRESS,fe4b067626cb424f945b79ca2d82b035a8e3e164094141981c77af35b93b740a,"52/09, Goyal Marg, Loni-708683"
ADDRESS,37be3cef47e5647cf758489e16799e468b6da7c4b889dbcb787a45cd7b503914,"80/021, Datta Circle, Faridabad-693298"
ADDRESS,115ec6794a3db9b7313e58b0f767c7f283e041a6aa0bd30870d66a8b7da82414,"906, Palan Circle, Madurai-755490"
ADDRESS,8edd7117729b94fb90a0ff747fc91073340e06bf520843a670aa250b8fc64211,"04/45, Bhakta Path, Saharanpur-738631"
ADDRESS,8e509c0b1c1c5a39807a62def0ed3948ddaf6c13649bf86be1d1e0f189800f95,"107, Bhargava Nagar, Kozhikode-853163"
ADDRESS,a1820c07fe8511481f13c45468e283f71f8c36953f4a710db195b96f7cb29dc0,"14/25, Merchant Nagar, Kharagpur-656250"
ADDRESS,6cb43c424cd80e49fb4fa426580967226369a3083514c51e9a2e0e2e196aad40,"07/870, Balasubramanian Ganj, Udupi 581456"
ADDRESS,0d1ba46ff6c0b199eba98ea0e8c8ef264d2ee1488c361760497af1064f5963e5,"H.No. 368, Devan Zila, Sambalpur 478178"
ADDRESS,86eb1a77d9f2d7bf8cd54d09f0fc416bd4cb30f6bcf6f546db11d56cd3e779b4,"H.No. 05, Dube Ganj, Warangal 220178"
ADDRESS,64f6dfc0ee165dd0eff7fb8399881832a492ba092eab3b9c12aced76c90a86ad,"761, Das Circle, Karimnagar-367061"
ADDRESS,14dec55b59c75087a3da67dcef476969a837655ee72655969cb38e31402ab9e6,"52/97, Master Nagar, Tezpur 152278"
ADDRESS,3caaf1bc2e4b809e490b543f36a6a05f216b25e6f6d902997abd07d9191f24f9,"160, Mall Nagar, Bathinda 119796"
ADDRESS,742cfa7398050a00b2c7b29d0add5a02b5f5961ce0ef983c71d75b0f1d230bd1,"46/520, Setty Ganj, Mahbubnagar 336838"
ADDRESS,e84ef16ec4cff967941ce09445377cb28fc6dcb0c8019505b793fb0ef919d8c1,"59, Mandal Street, Nagpur 975026"
ADDRESS,f7d3343ed2f7f830f1a32d302f800afb60ef4d4c2d6912f1e694f9448b689dd6,"84/83, Ratta Nagar, Gandhinagar-214619"
ADDRESS,39c5a7ce0b3fa7350dbebcf0adffe7bfe48e52294705d5fac940318928c88538,"H.No. 01, Sastry Nagar, Sagar-645030"
ADDRESS,e9a2a4a10285cae96176f5f5fb60598bd34d47f93f0a008b9af74ee1a768bd73,"438, Sastry Circle, Kozhikode 788799"
ADDRESS,8e62976ad4ad9999c2ff71c9222d14f0c8e05b0440dd41cc2a404d4f7054d5c1,"57/52, Mangat Ganj, Nagpur-458218"
ADDRESS,ab3564844b9d864d1bf3f899596925013849f9cb940549353d507b66df7f41df,"92/035, Shankar Nagar, Thiruvananthapuram 071892"
ADDRESS,929b6bac7d4392e8032a669be655a6a1e1907b50bba190494cc6ebf98e009d19,"49/183, Walia Marg, Kakinada-532845"
ADDRESS,c49513cba75c6bc04d856e7b06adbaaa18b7aff37736feb1a56e2799999c8dc9,"H.No. 83, Dass Nagar, Danapur 473540"
ADDRESS,ae50b0dcf5b77e5d4870ed3037479f41db92abf5f84c447325101cc137c9427c,"40/651, Bava Ganj, Raebareli-052085"
ADDRESS,eb39ea1cb53ad8d245390d04039453223f5e8ab2ae7abfcb0c9726b03568c1ee,"H.No. 397, Khalsa Zila, Gandhidham-560126"
ADDRESS,073471a317f16fca2fa509bab83c59bffe7a769f05f104fd704dd4125cba0e9a,"89, Mital Chowk, Moradabad 866240"
ADDRESS,9cfe64a3a7781155abf316149db66d1aaaee462b881fdec8c36e326b7394c3c3,"H.No. 88, Parsa Ganj, Dhanbad-184181"
ADDRESS,176ddb35367ee3bcdd4bb0933bf164f49f7827451d62881dd59b6b0bd919cf3c,"901, Seshadri, Kollam-967400"
ADDRESS,0e875f13e81b06beb924b77fd4ad19e6762d470b75d241b43c6da8fda781f5d7,"H.No. 108, Sampath Street, Hubli–Dharwad-053827"
ADDRESS,f0f2986d9043cfbbd364062a32fa8fce53c8427005ccc02818cd20e31ab681a1,"56/086, Choudhury Marg, Chandrapur 105491"
ADDRESS,9d5463ec24d92c40ef4dd6cf15c4049ec6dd8c5d51d4e466500c567624219385,"H.No. 84, Morar Ganj, Ludhiana 203227"
ADDRESS,a47d52e22db57deb5eeb8c392a10fd3bd48188bae7bf66e9aa5d350fc67b8f0f,"H.No. 46, Borde Zila, Malegaon-981479"
ADDRESS,808b0cd724d355c62109c350b4befe6369e478771e7b2ee217a16a9b9e325249,"95/321, Kari Street, Katni 443030"
ADDRESS,93c760b52398baa68e3d8a78f955282c51a27f5d7bdc2fac90eae730edd4f554,"26/18, Walla Marg, Dehri 264955"
ADDRESS,c1d2893bf13a843a8f3dd58d9a403604669e863d01910c926e9ca4fd5c6ef09b,"67/82, Krish Nagar, Baranagar 565895"
ADDRESS,c91be3a3c698c986a82b50050b9619462b4be966721c966e1d9c5f5ab13534d6,"777, Karpe Path, Vijayawada-453703"
ADDRESS,6606d0483a7b3414ada2f06c044b24ed9684dac477de46b25d9d9b97da26bc28,"694, Vyas Chowk, Hazaribagh-572995"
ADDRESS,51a2bfe89e80717c76f92bfa5e0a17d0ca128ff954f68dcb25de124713eea8e9,"31, Magar, Navi Mumbai 931745"
ADDRESS,d6c693f69019d7e664c321884d918a27534bce9ef9e8d2777275a50f4c3757fc,"80, Kanda, Ludhiana 472472"
ADDRESS,3d3d78a7349dcadfd42358e762de5d3ca0a0404644e508724d77d9e8f282efb9,"25/758, Sharma Nagar, Shahjahanpur-882477"
ADDRESS,41e7d8825e8d3ef3c66574c84261b054520e7f84dc5fde247f2103ef225d5c2c,"H.No. 515, Thakur Zila, Mirzapur 464167"
DIN,4f5922417108422a59ba2a9e28b94a7c34f62568e5eff19b51623edcd1a5f25c,32352046
